                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.90802,                0.93348,                 1.3672,                0.90798,                0.87032,                0.93495,                0.74991,                 0.7658,                0.59314,                  1.346,               0.008317,               0.008317,               0.008317
                     36,                0.90753,                 0.9229,                 1.3635,                 0.8863,                0.87515,                0.93674,                0.75837,                0.74793,                0.58618,                  1.338,              0.0082675,              0.0082675,              0.0082675
                     37,                0.89827,                0.92258,                 1.3593,                0.87633,                0.87516,                0.93278,                0.75591,                0.73315,                0.57729,                 1.3336,               0.008218,               0.008218,               0.008218
                     38,                0.89649,                0.89293,                 1.3543,                0.90757,                0.88426,                0.94139,                0.76168,                0.75041,                0.54836,                 1.3404,              0.0081685,              0.0081685,              0.0081685
                     39,                0.88494,                0.89035,                 1.3468,                0.90836,                0.90213,                0.94611,                 0.7718,                 0.7363,                0.52246,                 1.3254,               0.008119,               0.008119,               0.008119
                     40,                0.88614,                 0.8647,                 1.3448,                0.90669,                 0.8923,                 0.9402,                 0.7633,                0.73819,                0.52584,                 1.3338,              0.0080695,              0.0080695,              0.0080695
                     41,                0.88105,                0.86325,                 1.3378,                0.91478,                0.89484,                0.94488,                0.76946,                0.73172,                 0.5326,                 1.3278,                0.00802,                0.00802,                0.00802
                     42,                0.87122,                0.85239,                 1.3309,                0.89972,                0.89108,                0.94173,                0.76863,                0.72601,                  0.527,                 1.3169,              0.0079705,              0.0079705,              0.0079705
                     43,                0.88187,                0.86354,                  1.339,                0.91075,                0.90395,                0.95022,                0.77782,                0.70566,                0.51952,                 1.2954,               0.007921,               0.007921,               0.007921
                     44,                0.85804,                0.84384,                  1.322,                0.90583,                 0.9073,                 0.9498,                0.78372,                0.70139,                 0.5096,                 1.2942,              0.0078715,              0.0078715,              0.0078715
                     45,                0.86566,                0.84833,                 1.3225,                0.91372,                0.89961,                0.95169,                0.78697,                0.70071,                0.49136,                 1.2935,               0.007822,               0.007822,               0.007822
                     46,                0.85068,                0.82766,                 1.3225,                0.93124,                0.90453,                0.95574,                0.78323,                0.71474,                0.49655,                 1.3009,              0.0077725,              0.0077725,              0.0077725
                     47,                0.84664,                0.82399,                 1.3163,                 0.9177,                 0.9041,                0.95473,                0.78969,                0.68757,                0.49074,                 1.2739,               0.007723,               0.007723,               0.007723
                     48,                0.83381,                 0.8119,                 1.3048,                0.92127,                0.90519,                0.95557,                 0.7835,                 0.7004,                0.49861,                 1.2843,              0.0076735,              0.0076735,              0.0076735
                     49,                0.84981,                0.81884,                 1.3214,                0.93057,                0.90605,                0.95577,                 0.7885,                0.69408,                0.47128,                 1.2773,               0.007624,               0.007624,               0.007624
                     50,                0.83637,                0.81084,                 1.3054,                0.93711,                0.91142,                0.95806,                   0.79,                0.69019,                0.48216,                  1.273,              0.0075745,              0.0075745,              0.0075745
                     51,                0.84246,                0.79537,                 1.3096,                0.92402,                0.92073,                 0.9604,                0.79192,                0.68839,                0.47152,                 1.2733,               0.007525,               0.007525,               0.007525
                     52,                0.83996,                0.80357,                 1.3002,                0.92468,                0.92142,                0.96223,                0.79892,                0.66811,                0.46421,                 1.2525,              0.0074755,              0.0074755,              0.0074755
