                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    152,                0.61865,                0.50595,                 1.1426,                0.96659,                0.97325,                0.98932,                0.90912,                0.42124,                0.27382,                  1.003,              0.0025255,              0.0025255,              0.0025255
                    153,                0.60997,                0.50174,                 1.1395,                0.96787,                0.97363,                0.98961,                0.90956,                0.42086,                0.27414,                 1.0024,               0.002476,               0.002476,               0.002476
                    154,                0.62155,                0.51744,                  1.147,                 0.9698,                0.97254,                0.98962,                0.90963,                0.41827,                0.27225,                 0.9998,              0.0024265,              0.0024265,              0.0024265
                    155,                0.60488,                0.49674,                 1.1338,                0.96787,                0.97537,                0.98985,                  0.909,                0.41574,                0.27125,                 0.9973,               0.002377,               0.002377,               0.002377
                    156,                 0.5972,                0.48898,                 1.1305,                 0.9675,                0.97588,                0.98982,                0.91072,                0.41216,                 0.2696,                0.99469,              0.0023275,              0.0023275,              0.0023275
                    157,                0.59217,                0.49993,                 1.1269,                0.96541,                0.97914,                 0.9898,                 0.9105,                0.41103,                0.26885,                 0.9935,               0.002278,               0.002278,               0.002278
                    158,                0.60353,                0.51024,                 1.1388,                 0.9692,                 0.9776,                0.98979,                0.91156,                0.40904,                0.26887,                0.99188,              0.0022285,              0.0022285,              0.0022285
                    159,                0.59369,                0.48946,                 1.1251,                0.97191,                0.97613,                0.98988,                 0.9126,                0.40729,                0.26622,                0.98974,               0.002179,               0.002179,               0.002179
                    160,                0.59738,                0.48719,                 1.1285,                0.97179,                0.97452,                0.98999,                0.91337,                0.40581,                0.26657,                0.98838,              0.0021295,              0.0021295,              0.0021295
                    161,                0.60536,                 0.4975,                  1.136,                0.97049,                0.97482,                0.99035,                0.91445,                 0.4034,                 0.2645,                0.98634,                0.00208,                0.00208,                0.00208
                    162,                0.59282,                0.48461,                 1.1342,                0.97067,                0.97546,                0.99014,                0.91482,                0.40262,                0.26363,                 0.9852,              0.0020305,              0.0020305,              0.0020305
                    163,                0.59027,                0.48728,                 1.1245,                0.97054,                0.97701,                0.99034,                0.91675,                0.40099,                0.26256,                0.98342,               0.001981,               0.001981,               0.001981
                    164,                0.61048,                0.49744,                 1.1399,                0.97097,                 0.9786,                0.99042,                0.91688,                0.39969,                0.26209,                0.98176,              0.0019315,              0.0019315,              0.0019315
                    165,                0.58531,                0.47464,                 1.1163,                0.97002,                0.97932,                0.99053,                0.91695,                0.39835,                0.26133,                0.98064,               0.001882,               0.001882,               0.001882
                    166,                0.59197,                0.48354,                 1.1265,                0.97085,                0.97798,                0.99034,                0.91711,                0.39741,                0.26145,                0.97975,              0.0018325,              0.0018325,              0.0018325
                    167,                0.58316,                0.48008,                 1.1219,                0.97224,                0.97536,                0.99038,                0.91754,                0.39552,                0.26076,                0.97855,               0.001783,               0.001783,               0.001783
                    168,                0.58432,                0.48508,                 1.1208,                0.97246,                0.97563,                0.99035,                0.91821,                0.39462,                0.26096,                0.97784,              0.0017335,              0.0017335,              0.0017335
                    169,                0.57488,                 0.4648,                 1.1158,                0.97073,                0.97701,                0.99032,                 0.9183,                0.39383,                0.26069,                0.97631,               0.001684,               0.001684,               0.001684
                    170,                0.58512,                0.46671,                 1.1169,                0.97134,                0.97817,                0.99042,                0.91976,                0.39233,                 0.2602,                 0.9743,              0.0016345,              0.0016345,              0.0016345
                    171,                0.58319,                0.47825,                 1.1165,                0.97037,                0.97824,                0.99036,                0.91926,                0.39121,                0.25855,                0.97316,               0.001585,               0.001585,               0.001585
                    172,                0.57079,                0.45821,                 1.1152,                0.97103,                0.97634,                0.99033,                0.91953,                0.39067,                0.25736,                0.97247,              0.0015355,              0.0015355,              0.0015355
                    173,                 0.5782,                0.46699,                 1.1124,                0.97023,                0.97605,                 0.9906,                0.92055,                0.38965,                0.25648,                0.97171,               0.001486,               0.001486,               0.001486
                    174,                0.56686,                0.45967,                   1.11,                0.96878,                0.97772,                0.99067,                0.92115,                0.38767,                0.25552,                0.96994,              0.0014365,              0.0014365,              0.0014365
                    175,                0.57826,                 0.4667,                 1.1156,                0.97244,                0.97511,                0.99074,                 0.9215,                0.38633,                0.25462,                 0.9687,               0.001387,               0.001387,               0.001387
                    176,                0.57899,                0.46943,                 1.1137,                0.96841,                0.97923,                0.99077,                0.92141,                0.38513,                0.25505,                0.96788,              0.0013375,              0.0013375,              0.0013375
                    177,                0.57294,                0.46148,                 1.1134,                0.96915,                0.97876,                 0.9909,                0.92115,                0.38415,                0.25483,                0.96689,               0.001288,               0.001288,               0.001288
                    178,                0.55991,                0.44708,                 1.1104,                0.96884,                0.98096,                0.99094,                0.92166,                 0.3833,                0.25464,                0.96678,              0.0012385,              0.0012385,              0.0012385
                    179,                0.56486,                0.46286,                  1.111,                0.97129,                 0.9792,                0.99108,                0.92184,                0.38235,                0.25429,                0.96628,               0.001189,               0.001189,               0.001189
                    180,                 0.5662,                0.44985,                 1.1088,                 0.9707,                0.97993,                0.99111,                0.92182,                0.38153,                0.25317,                0.96536,              0.0011395,              0.0011395,              0.0011395
                    181,                0.56253,                0.45258,                 1.1084,                0.97091,                0.97969,                0.99107,                 0.9221,                0.38106,                0.25309,                0.96479,                0.00109,                0.00109,                0.00109
                    182,                0.56097,                0.45109,                 1.1056,                0.97134,                0.97999,                0.99109,                0.92302,                0.38029,                0.25162,                0.96406,              0.0010405,              0.0010405,              0.0010405
                    183,                0.56072,                0.45568,                 1.1033,                0.97066,                 0.9824,                0.99135,                0.92359,                 0.3797,                0.25098,                0.96344,               0.000991,               0.000991,               0.000991
                    184,                0.55503,                0.44551,                 1.0988,                0.97307,                0.98056,                0.99145,                 0.9243,                0.37838,                0.25039,                0.96241,              0.0009415,              0.0009415,              0.0009415
                    185,                0.55778,                0.45046,                 1.1033,                0.97344,                0.97873,                0.99142,                 0.9247,                0.37797,                0.24974,                 0.9615,               0.000892,               0.000892,               0.000892
                    186,                0.54771,                0.44343,                 1.0976,                0.97284,                 0.9792,                0.99149,                0.92556,                0.37681,                 0.2496,                0.96029,              0.0008425,              0.0008425,              0.0008425
                    187,                0.55717,                0.45215,                 1.1041,                0.97366,                0.97917,                0.99164,                  0.926,                0.37648,                0.24956,                 0.9599,               0.000793,               0.000793,               0.000793
                    188,                0.54651,                0.45092,                 1.1003,                0.97433,                 0.9799,                0.99166,                0.92678,                 0.3755,                0.24899,                0.95934,              0.0007435,              0.0007435,              0.0007435
                    189,                0.54783,                0.44595,                  1.094,                0.97615,                0.97952,                0.99175,                0.92702,                0.37467,                0.24805,                0.95846,               0.000694,               0.000694,               0.000694
                    190,                0.44691,                0.31818,                  1.059,                0.97461,                0.98031,                 0.9918,                0.92597,                0.37381,                0.24749,                  0.957,              0.0006445,              0.0006445,              0.0006445
                    191,                0.42261,                0.29304,                 1.0384,                0.97593,                0.98073,                0.99186,                0.92659,                0.37216,                0.24675,                0.95533,               0.000595,               0.000595,               0.000595
                    192,                0.41425,                0.28979,                 1.0317,                0.97401,                 0.9823,                0.99191,                0.92704,                0.37006,                0.24509,                 0.9534,              0.0005455,              0.0005455,              0.0005455
                    193,                0.41854,                0.29678,                 1.0322,                0.97454,                0.98143,                0.99199,                0.92748,                0.36808,                0.24372,                0.95157,               0.000496,               0.000496,               0.000496
                    194,                0.41266,                0.28509,                 1.0307,                0.97636,                0.98014,                0.99208,                0.92892,                0.36635,                0.24305,                0.94987,              0.0004465,              0.0004465,              0.0004465
                    195,                0.40352,                0.28427,                 1.0175,                0.97583,                0.98024,                0.99209,                0.92882,                0.36455,                0.24195,                0.94839,               0.000397,               0.000397,               0.000397
                    196,                0.40484,                0.28039,                 1.0227,                0.97737,                0.97954,                 0.9921,                0.92947,                0.36284,                0.24063,                0.94684,              0.0003475,              0.0003475,              0.0003475
                    197,                0.40214,                0.27467,                 1.0202,                0.97993,                0.97799,                0.99214,                0.92961,                0.36173,                0.23963,                0.94565,               0.000298,               0.000298,               0.000298
                    198,                0.40529,                0.27464,                  1.016,                0.98056,                0.97771,                 0.9922,                0.93022,                 0.3604,                0.23866,                0.94436,              0.0002485,              0.0002485,              0.0002485
                    199,                 0.3966,                0.27731,                 1.0206,                0.98094,                0.97763,                 0.9922,                 0.9304,                0.35933,                0.23797,                0.94324,               0.000199,               0.000199,               0.000199
